"396Sven MichelAugsburg, 34, AM(CL),FW",6.22
"397Mikkel KaufmannUnion Berlin, 24, FW",6.22
"398Fábio CarvalhoRBL, 22, AM(CL),FW",6.21
"399Marcus MüllerMainz, 22, Forward",6.21
"400Dion BeljoAugsburg, 22, FW",6.21
"401Paxten AaronsonEintracht Frankfurt, 21, M(CL)",6.2
"402Mahmoud DahoudStuttgart, 29, M(C)",6.2
"403Noah LoosliBochum, 28, Defender",6.2
"404Matej MaglicaDarmstadt, 26, D(C)",6.2
"405Chris BediaUnion Berlin, 28, FW",6.2
"406Jordan SiebatcheuUnion Berlin, 28, FW",6.2
"407Tim BreithauptAugsburg, 23, DMC",6.2
"408Justin DiehlFC Koln, 20, Forward",6.2
"409Gustavo PuertaLeverkusen, 21, M(C)",6.2
"410Luca KilianFC Koln, 25, D(C)",6.19
"411Jakub KaminskiWolfsburg, 22, M(LR)",6.19
"412Lovro ZvonarekBayern, 19, Midfielder",6.19
"413Jacob ChristensenFC Koln, 23, Midfielder",6.19
"414Andreas MüllerDarmstadt, 24, DMC",6.18
"415Leonardo BonucciUnion Berlin, 37, D(C)",6.18
"416Frank RonstadtDarmstadt, 27, D(R),M(R)",6.18
"417Masaya OkugawaAugsburg, 28, AM(CLR),FW",6.18
"418Tony JantschkeBorussia M.Gladbach, 34, D(CR),DMC",6.18
"419Denis ThomallaFC Heidenheim, 32, M(CL),FW",6.18
"420Florent MuslijaFreiburg, 26, M(CL)",6.18
"421Pep BielAugsburg, 28, AM(CR)",6.17
"422Jesper LindstrømEintracht Frankfurt, 24, AM(CLR),FW",6.17
"423Maximilian PhilippFreiburg, 30, AM(CLR),FW",6.17
"424Yvandro Borges SanchesBorussia M.Gladbach, 20, M(L)",6.16
"425Nadiem AmiriLeverkusen, 28, M(CLR)",6.16
"426Florian PickFC Heidenheim, 29, AM(CLR)",6.16
"427Mathias HonsakDarmstadt, 28, AM(CLR),FW",6.16
"428Christopher LenzRBL, 30, D(L),M(L)",6.16
"429Fabian SchnellhardtDarmstadt, 31, M(C)",6.15
"430Patrick HerrmannBorussia M.Gladbach, 34, M(LR),FW",6.15
"431Naby KeïtaWerder Bremen, 30, M(C)",6.15
"432Jean-Mattéo BahoyaEintracht Frankfurt, 19, Forward",6.14
"433Dawid KownackiWerder Bremen, 27, AM(CLR),FW",6.14
"434Olé PohlmannBorussia Dortmund, 23, AM(C)",6.14
"435Fraser HornbyDarmstadt, 25, FW",6.13
